date,consultant,project,hours,rate,billable,client,invoice_date,invoice_amount,paid_date
2025-08-31,Asha,Gamma,7.2,2000,True,Acme,2025-08-29,59212,2025-08-17
2025-08-21,Neel,Gamma,3.3,2000,False,Acme,2025-08-22,40082,2025-08-10
2025-08-30,Neel,Gamma,7.6,2000,False,Acme,2025-08-01,72637,2025-08-17
2025-09-04,Neel,Alpha,4.4,2500,True,Globex,2025-09-05,41469,2025-09-07
2025-08-06,Rita,Gamma,6.4,1500,True,Initech,2025-08-08,48212,2025-08-17
2025-09-09,Asha,Gamma,7.5,1500,False,Globex,2025-08-08,62694,2025-09-07
2025-08-23,Neel,Beta,3.6,1500,True,Initech,2025-08-29,52693,2025-08-03
2025-08-03,Vikram,Gamma,4.7,2000,True,Acme,2025-08-08,55121,2025-09-07
2025-08-05,Asha,Alpha,2.7,2500,True,Initech,2025-08-29,31225,
2025-08-01,Asha,Gamma,5.4,1500,True,Globex,2025-08-29,25272,2025-08-03
2025-09-08,Rita,Beta,7.2,1500,False,Globex,2025-08-08,52636,2025-08-10
2025-08-31,Neel,Beta,5.3,2500,False,Globex,2025-09-05,73346,2025-08-03
2025-08-23,Neel,Alpha,2.4,2000,False,Acme,2025-08-15,65603,2025-08-17
2025-08-28,Asha,Alpha,5.8,1500,True,Globex,2025-08-08,76130,2025-08-24
2025-08-26,Vikram,Alpha,3.8,2500,False,Globex,2025-08-01,53224,2025-08-03
2025-08-04,Vikram,Beta,7.6,2000,True,Acme,2025-08-01,27217,2025-08-31
2025-08-04,Asha,Beta,5.7,2500,True,Acme,2025-08-01,35343,2025-08-03
2025-08-04,Neel,Beta,4.3,1500,True,Globex,2025-08-01,62415,2025-08-03
2025-08-12,Vikram,Alpha,6.5,2500,False,Acme,2025-08-29,52830,2025-08-17
2025-09-07,Asha,Alpha,5.3,2000,True,Acme,2025-08-22,72276,2025-09-07
2025-08-06,Rita,Beta,2.3,2500,True,Globex,2025-08-01,67165,2025-08-17
2025-08-13,Neel,Gamma,5.5,2000,True,Acme,2025-08-15,39022,
2025-08-15,Rita,Gamma,1.1,2000,True,Acme,2025-08-08,37514,2025-08-24
2025-09-05,Vikram,Gamma,3.2,2500,True,Globex,2025-08-08,62860,
2025-08-12,Vikram,Gamma,2.8,2500,True,Acme,2025-09-05,44539,2025-08-03
2025-08-05,Rita,Alpha,7.4,1500,True,Initech,2025-09-05,69514,
2025-08-12,Rita,Beta,2.3,2500,True,Acme,2025-08-01,50183,2025-08-03
2025-08-13,Neel,Beta,7.7,2000,True,Initech,2025-08-01,75945,
2025-09-07,Asha,Beta,2.7,2000,True,Initech,2025-08-29,41337,2025-08-03
2025-09-02,Vikram,Alpha,5.8,2000,True,Globex,2025-08-22,30858,
2025-09-02,Neel,Alpha,7.3,1500,True,Globex,2025-08-01,76753,2025-08-31
2025-09-04,Rita,Gamma,6.9,2000,True,Initech,2025-08-15,54428,2025-08-24
2025-08-10,Vikram,Gamma,6.3,1500,True,Globex,2025-08-01,24637,2025-08-31
2025-08-29,Asha,Beta,6.6,1500,True,Acme,2025-08-29,39199,2025-08-17
2025-08-25,Neel,Alpha,3.3,2500,False,Acme,2025-08-08,57804,2025-08-24
